arquivo,titulo,subtitulo,data_publicacao,data_atualizacao,tags,dateline,nome_operacao_encontrado,identidade_canonica,classificacao,crimes_mais_presentes,modus_operandi,fonte_classificacao,confianca_regex
acao-conjunta-apreende-mercadorias-descaminhadas-em-foz-do-iguacu-pr-2c895cc7.md,Ação conjunta apreende mercadorias descaminhadas em Foz do Iguaçu/PR,"Operação integrada da Polícia Federal, Polícia Militar e Marinha do Brasil localizou depósito de mercadorias contrabandeadas após desembarque no Rio Iguaçu",12/11/2025,21/11/2025,"[""Operação PF"", ""Polícia Federal"", ""Paraná""]",Foz do Iguaçu/PR.,,crime_contrabando_descaminho,Por crime,"[""contrabando_descaminho""]","[""cooperacao_interagencias"", ""fronteira_transnacional""]",regex,0.91
acao-conjunta-combate-trafico-de-drogas-e-crime-organizado-799ecda4.md,Ação conjunta combate tráfico de drogas e crime organizado,"A Polícia Federal, juntamente com a Polícia Militar do Estado do Acre, deflagrou a Operação HAMURABI",15/07/2022,,"[""Operação PF"", ""Acre"", ""Tráfico"", ""Destaque""]",Cruzeiro do Sul/AC.,HAMURABI A,crime_trafico_drogas,Por crime,"[""trafico_drogas"", ""roubo_furto"", ""organizacao_criminosa""]","[""prisao"", ""busca_apreensao""]",regex,0.95
acao-conjunta-da-ficco-pr-resulta-na-apreensao-de-veiculo-com-drogas-em-foz-do-iguacu-a7048c78.md,Ação conjunta da FICCO/PR resulta na apreensão de ve´ículo com drogas em Foz do Iguaçu,Mais de 67 kg de maconha foi ap´reendido,26/06/2025,,"[""Operação PF"", ""Polícia Federal"", ""Paraná""]",Foz do Iguaçu/PR.,,crime_trafico_drogas,Por crime,"[""trafico_drogas"", ""organizacao_criminosa""]","[""cooperacao_interagencias""]",regex,0.95
acao-conjunta-da-pf-desativa-madeireiras-clandestinas-21923faf.md,Ação conjunta da PF desativa madeireiras clandestinas,Trabalho policial ocorreu no âmbito da Operação Guardiões do Bioma,30/04/2022,03/02/2023,"[""Operação PF"", ""Guardiões do Bioma"", ""Redenção Pará""]",Redenção/PA.,Guardioes,crimes_ambientais,Por crime,"[""crimes_ambientais""]","[""cooperacao_interagencias""]",regex,0.95
acao-conjunta-da-pf-e-receita-federal-apreende-droga-skunk-em-pernambuco-300bcff8.md,Ação conjunta da PF e Receita Federal apreende droga Skunk em Pernambuco,Durante operação de vigilância relacionada ao combate ao tráfico interestadual de entorpecentes,22/08/2025,,"[""Operação PF"", ""Recife"", ""Pernambuco""]",Recife/PE.,,crime_trafico_drogas,Por crime,"[""trafico_drogas""]","[""prisao"", ""cooperacao_interagencias""]",regex,0.95
acao-conjunta-entre-pf-tj-ro-e-autoridades-dos-eua-resulta-na-prisao-de-condenado-por-estupro-a6cc7174.md,"Ação conjunta entre PF, TJ/RO e autoridades dos EUA resulta na prisão de condenado por estupro",Brasileiro foi deportado e capturado em Minas Gerais após inclusão na lista de procurados da INTERPOL,15/01/2026,,"[""Operação PF"", ""Rondônia""]",Porto Velho/RO.,,crimes_contra_crianca,Por crime,"[""crimes_contra_crianca""]","[""prisao""]",regex,0.95
acao-conjunta-resulta-na-deflagracao-de-operacao-para-avancar-nas-investigacoes-relacionadas-a-homicidios-248c335f.md,Ação conjunta resulta na deflagração de operação para avançar nas investigações relacionadas a homicídios,"Crimes investigados ocorreram na região de Alto Santo, no Ceará",19/12/2024,19/12/2024,"[""Ceará"", ""Operação PF""]",Fortaleza/CE.,,crime_homicidio,Por crime,"[""homicidio"", ""organizacao_criminosa""]","[""cooperacao_interagencias"", ""busca_apreensao"", ""resgate_vitimas""]",regex,0.938
acao-conjunta-visa-garantir-protecao-ambiental-em-paranagua-045927d9.md,Ação conjunta visa garantir proteção ambiental em Paranaguá,Trata-se da décima primeira fase Operação Aifa,24/07/2024,,"[""Paraná"", ""Operação PF""]",Paranaguá/PR.,Aifa Foi,crimes_ambientais,Por crime,"[""crimes_ambientais""]","[""cooperacao_interagencias""]",regex,0.95
acao-integrada-combate-comercializacao-de-mercadorias-estrangeiras-pela-internet-b3d5f650.md,Ação Integrada combate comercialização de mercadorias estrangeiras pela internet,Investigação iniciou com apreensões em fiscalizações realizadas no Centro de Distribuição dos Correios,06/07/2022,06/07/2022,"[""Operação PF"", ""Destaque"", ""Descaminho""]",,Concorrencia Desleal,crime_contrabando_descaminho,Por crime,"[""contrabando_descaminho""]","[""busca_apreensao"", ""atuacao_online"", ""cooperacao_interagencias"", ""comercializacao""]",regex,0.95
acao-integrada-das-forcas-de-seguranca-no-acre-deflagra-a-terceira-fase-da-operacao-tabuleiro-7c3fd6e9.md,Ação integrada das forças de segurança no Acre deflagra a terceira fase da Operação Tabuleiro,"Na ação de hoje, foram presos integrantes da organização criminosa investigada, cuja área de atuação se concentrava nas cidades de Tarauacá e Feijó",31/05/2021,02/02/2023,"[""Operação PF"", ""Destaque"", ""Organização criminosa""]",,Tabuleiro Na,crime_trafico_drogas,Por crime,"[""trafico_drogas"", ""crimes_armas"", ""roubo_furto"", ""organizacao_criminosa""]","[""cooperacao_interagencias"", ""prisao"", ""busca_apreensao"", ""desarticulacao_rede""]",regex,0.95
acao-na-fronteira-do-paraguai-com-o-brasil-desarticula-organizacao-criminosa-violenta-que-se-inspira-em-carteis-mexicanos-e32151b5.md,Ação na fronteira do Paraguai com o Brasil desarticula organização criminosa violenta que se inspira em cartéis mexicanos,PF e SENAD realizam nove prisões e apreendem forte arsenal bélico,19/12/2023,20/12/2023,"[""Distrito Federal"", ""Operação PF"", ""Destaque"", ""SENAD""]",Brasília/DF.,Ignis,crime_corrupcao_desvio,Por crime,"[""corrupcao_desvio"", ""trafico_drogas"", ""homicidio"", ""organizacao_criminosa""]","[""fronteira_transnacional"", ""prisao"", ""resgate_vitimas"", ""desarticulacao_rede""]",regex,0.95
amicus-regem-pf-investiga-fraudes-em-processos-judiciais-de-desapropriacao-de-terras-em-rondonia-c2e85882.md,Amicus Regem: PF investiga fraudes em processos judiciais de desapropriação de terras em Rondônia,"Dentre os processos investigados, restou comprovado que foram pagos cerca R$330 milhões em indenizações de reforma agrária, realizadas por meio de precatórios, alvarás judiciais e títulos da dívida agrária, valor esse objeto de bloqueio determinado pela Justiça Federal.",30/07/2020,24/01/2023,"[""Operação PF"", ""Destaque"", ""Rondônia"", ""Incra"", ""desapropriação de terras"", ""fraudes processuais"", ""Operação Amicus Regem"", ""Polícia Federal""]",,AMICUS REGEM,crime_corrupcao_desvio,Por crime,"[""corrupcao_desvio"", ""lavagem_dinheiro"", ""falsificacoes"", ""organizacao_criminosa""]","[""busca_apreensao"", ""desarticulacao_rede""]",regex,0.95
animus-injuriandi-apura-crime-contra-a-honra-de-parlamentar-em-rede-social-c7972650.md,Animus Injuriandi apura crime contra à honra de parlamentar em rede social,PF cumpre um mandado de busca em endereço residencial na cidade de São José/SC,31/12/2021,03/02/2023,"[""Operação PF"", ""Destaque"", ""Mandado de busca"", ""Injúria""]",,,crime_injuria,Por crime,"[""injuria""]","[""busca_apreensao"", ""atuacao_online""]",regex,0.95
atuacao-conjunta-da-policia-federal-e-policia-civil-do-acre-apreendem-23-kg-de-maconha-enterrada-na-zona-rural-677a46e6.md,Atuação conjunta da Polícia Federal e Polícia Civil apreende 23 kg de maconha enterrada na zona rural do Acre,A ação foi desencadeada a partir de denúncias anônimas,03/09/2025,03/09/2025,"[""Operação PF"", ""Epitaciolândia"", ""Acre""]",Epitaciolândia/AC.,,crime_trafico_drogas,Por crime,"[""trafico_drogas""]","[""fiscalizacao"", ""fronteira_transnacional"", ""resgate_vitimas""]",regex,0.95
bpfron-e-nepom-pf-recuperam-veiculo-furtado-e-apreendem-cigarros-apos-perseguicao-em-guaira-pr-2c9484d5.md,"BPFRON e NEPOM/PF recuperam veículo furtado e apreendem cigarros após perseguição, em Guaira-PR",Publicado em 24/08/2023 07h51,24/08/2023,,"[""PR"", ""Operação PF"", ""Contrabando""]",Guaíra/PR.,Horus,crime_contrabando_descaminho,Por crime,"[""contrabando_descaminho"", ""roubo_furto""]","[""fronteira_transnacional""]",regex,0.95
brasil-e-paraguai-deflagram-na-data-de-hoje-a-operacao-dakovo-de-combate-ao-trafico-internacional-de-armas-9f8c5e11.md,"Brasil e Paraguai deflagram na data de hoje a Operação DAKOVO, de combate ao tráfico internacional de armas","As investigações começaram na Delegacia da Polícia em Vitória da Conquista na Bahia, em 2020, local em que dois indivíduos foram presos em flagrante na posse de 23 pistolas de origem croata e dois fuzis com indícios de adulteração, além de munições e carregadores",05/12/2023,11/12/2023,"[""Bahia"", ""Operação PF"", ""SENAD"", ""Paraguai"", ""Tráfico de Armas"", ""DAKOVO"", ""Destaque""]",Complemento,DAKOVO,crimes_armas,Por crime,"[""crimes_armas""]","[""prisao"", ""busca_apreensao"", ""fronteira_transnacional"", ""bloqueio_bens""]",regex,0.95
casal-e-preso-por-comercio-ilegal-de-animais-silvestres-no-para-6d302795.md,Casal é preso por comércio ilegal de animais silvestres no Pará,Eles são suspeitos de intermediar venda de aves a outros estados,20/03/2024,,"[""Destaque"", ""Operação PF"", ""Comércio ilegal de animais silvestres"", ""Maus-tratos"", ""Receptação qualificada"", ""Pará""]",Belém/PA.,,crimes_ambientais,Por crime,"[""crimes_ambientais"", ""organizacao_criminosa""]","[""busca_apreensao"", ""prisao"", ""comercializacao""]",regex,0.95
copy_of_operacao-apreende-cedulas-falsas-caffce3d.md,Operação apreende cédulas falsas,Free Money foi deflagrada no Piauí e arrecadou R$ 2 mil falsificados,06/07/2022,24/08/2022,"[""Operação PF"", ""Free Money"", ""Moeda Falsa"", ""Piauí""]",Parnaíba/PI.,Free Money,crime_falsificacoes,Por crime,"[""falsificacoes""]","[""cumprimento_mandado"", ""busca_apreensao"", ""prisao""]",regex,0.95
copy_of_pf-e-receita-reprimem-crimes-de-evasao-de-divisas-lavagem-de-dinheiro-e-associacao-criminosa-11cb899b.md,"PF e Receita reprimem crimes de evasão de divisas, lavagem de dinheiro e associação criminosa","As determinações judiciais estão sendo cumpridas nas cidades de São Paulo/SP, Guarulhos/SP, Franca/SP, Campinas/SP, Santo André/SP; Mogi das Cruzes/SP, Barueri/SP, Rio de Janeiro/RJ, Niterói/RJ, Belo Horizonte/MG, Florianópolis/SC, Caxias do Sul/RS, Recife/PE e Curitiba/PR",22/09/2022,27/01/2023,"[""Operação PF"", ""Receita Federal"", ""São Paulo"", ""Cripto-ativos""]",São Paulo/SP,Colossus,crime_corrupcao_desvio,Por crime,"[""corrupcao_desvio"", ""trafico_drogas"", ""lavagem_dinheiro"", ""crimes_sistema_financeiro"", ""organizacao_criminosa""]","[""busca_apreensao"", ""cooperacao_interagencias"", ""prisao"", ""bloqueio_bens""]",regex,0.95
copy_of_policia-federal-e-bpfron-apreendem-quase-uma-tonelada-de-substancia-analoga-a-maconha-em-santa-helena-pr-4d6fac48.md,Polícia Federal e BPFRON apreendem quase uma tonelada de substância análoga a maconha em Santa Helena-PR,"O veículo e a embarcação estavam carregados com substâncias análoga a maconha que totalizaram 961,8 kg.",19/12/2022,27/01/2023,"[""Operação PF"", ""PF""]",,Horus,crime_trafico_drogas,Por crime,"[""trafico_drogas""]","[""fronteira_transnacional""]",regex,0.878
desvio-de-recursos-publicos-pf-e-mpf-realizam-operacao-em-alagoas-35f055a7.md,Desvio de Recursos públicos: PF e MPF realizam operação em Alagoas,Medidas foram autorizadas pelo Superior Tribunal de Justiça após indícios reunidos em investigação em curso; governador foi afastado do cargo,11/10/2022,11/10/2022,"[""Operação PF"", ""Alagoas""]",Maceió/AL.,Edema,crime_corrupcao_desvio,Por crime,"[""corrupcao_desvio"", ""lavagem_dinheiro"", ""organizacao_criminosa""]","[""busca_apreensao"", ""bloqueio_bens""]",regex,0.95
dois-integrantes-de-organizacao-criminosa-sao-presos-em-operacao-da-ficco-pa-f460317f.md,Dois integrantes de organização criminosa são presos em operação da FICCO/PA,Foram cumpridos mandados de busca e apreensão na casa dos alvos em Sobradinho/DF e Manaus/AM,22/05/2025,22/05/2025,"[""Operação PF"", ""Polícia Federal"", ""Atentado"", ""Agentes de segurança pública do Pará"", ""Amazonas""]",Belém/PA.,Covil,crime_trafico_drogas,Por crime,"[""trafico_drogas"", ""organizacao_criminosa""]","[""busca_apreensao"", ""prisao"", ""cooperacao_interagencias""]",regex,0.95
editado-pf-deflagra-operacao-reach-stackers-para-combater-o-crime-organizado-no-terminal-portuario-de-paranagua-e742c24c.md,PF deflagra Operação Reach Stackers para combater o crime organizado no Terminal Portuário de Paranaguá,O grupo investigado atuava no tráfico internacional de drogas.,31/12/2021,03/02/2023,"[""Polícia Federal"", ""Operação PF"", ""Paraná"", ""Terminal Portuário"", ""tráfico internacional de drogas"", ""Destaque""]",Curitiba/PR,Reach Stackers,crime_trafico_drogas,Por crime,"[""trafico_drogas"", ""organizacao_criminosa""]","[""busca_apreensao"", ""prisao"", ""cooperacao_interagencias"", ""fronteira_transnacional"", ""desarticulacao_rede"", ""combate_financeiro""]",regex,0.95
em-acao-conjunta-ficco-ba-e-ficco-sp-deflagram-operacao-e-prendem-lider-de-faccao-ac1303a8.md,"Em ação conjunta, FICCO/BA e FICCO/SP deflagram operação e prendem líder de facção","A ação resultou na prisão de um foragido da Justiça da Bahia, na cidade de São Paulo/SP",02/06/2025,,"[""Operação PF"", ""Polícia Federal"", ""Bahia""]",Salvador/BA.,Ultimo Ato,crime_falsificacoes,Por crime,"[""falsificacoes"", ""homicidio"", ""organizacao_criminosa""]","[""prisao"", ""atuacao_online"", ""cooperacao_interagencias""]",regex,0.95
em-acao-conjunta-ficco-ba-prende-lider-de-faccao-criminosa-atuante-no-sudoeste-da-ba-db4e3273.md,"Em ação conjunta, FICCO/BA prende líder de facção criminosa atuante no sudoeste da BA","Foram cumpridos dois mandados de busca e apreensão e um de prisão preventiva, no município de Extrema/MG.",21/01/2025,,"[""Operação PF"", ""Bahia"", ""FICCO""]",Salvador/BA.,,crime_trafico_drogas,Por crime,"[""trafico_drogas"", ""crimes_armas"", ""homicidio"", ""organizacao_criminosa""]","[""cooperacao_interagencias"", ""busca_apreensao"", ""prisao"", ""atuacao_online""]",regex,0.95
em-acao-conjunta-pf-captura-foragido-e-apreende-diversas-armas-de-fogo-em-barreiras-b7d3767f.md,"Em ação conjunta, PF captura foragido e apreende diversas armas de fogo em Barreiras","Na ação, foram apreendidas 11 armas - de uso permitido e restrito - além de carregadores e munições",07/05/2025,07/05/2025,"[""Bahia"", ""Operação PF""]",Barreiras/BA.,,crimes_armas,Por crime,"[""crimes_armas"", ""homicidio""]","[""prisao"", ""atuacao_online""]",regex,0.95
em-acao-conjunta-pf-combate-crimes-tributarios-4f5f8ed0.md,"Em ação conjunta, PF combate crimes tributários","Fraude, que envolve pedidos de restituição de PIS e Cofins, causou prejuízo efetivo de 371 milhões de reais aos cofres públicos",09/02/2023,,"[""Operação PF"", ""Fraude tributária"", ""Minas Gerais"", ""Destaque""]",Belo Horizonte/MG.,Inflamavel,crimes_ciberneticos_financeiros,Por crime,"[""crimes_ciberneticos_financeiros"", ""fraude_fiscal"", ""organizacao_criminosa""]","[""busca_apreensao"", ""cooperacao_interagencias"", ""bloqueio_bens""]",regex,0.95
em-acao-conjunta-pf-e-receita-federal-fazem-operacao-contra-o-trafico-internacional-de-drogas-7182f8ab.md,"Em ação conjunta, PF e Receita Federal fazem operação contra o tráfico internacional de drogas",Drogas eram ocultadas em cargas que partiriam do Porto de Paranaguá/PR,13/07/2023,,"[""PR"", ""Operação PF"", ""Porto Paranaguá"", ""Tráfico""]",Curitiba/PR.,Woodpecker,crime_trafico_drogas,Por crime,"[""trafico_drogas"", ""organizacao_criminosa""]","[""busca_apreensao"", ""prisao"", ""bloqueio_bens"", ""cooperacao_interagencias"", ""combate_financeiro""]",regex,0.95
em-acao-conjunta-pf-faz-operacao-contra-trafico-de-drogas-9cce4971.md,"Em ação conjunta, PF faz operação contra tráfico de drogas",Ações ocorrem na Bahia e em Pernambuco,20/06/2023,,"[""Operação PF"", ""Tráfico de Drogas"", ""PM"", ""PC"", ""GAECO"", ""BA SE PE""]",Juazeiro/BA.,,crime_trafico_drogas,Por crime,"[""trafico_drogas"", ""lavagem_dinheiro"", ""homicidio"", ""organizacao_criminosa""]","[""busca_apreensao"", ""prisao"", ""cooperacao_interagencias"", ""bloqueio_bens"", ""desarticulacao_rede""]",regex,0.95
em-operacao-ficco-ba-apreende-armas-municoes-e-drogas-em-ibirapitanga-00ca9178.md,"Em operação, FICCO/BA apreende armas, munições e drogas em Ibirapitanga",A deflagração ocorreu para cumprimento de mandados de busca e apreensão e de prisão contra facção criminosa violenta,21/05/2025,,"[""Operação PF"", ""Polícia Federal"", ""Bahia""]",Salvador/BA.,,crimes_armas,Por crime,"[""crimes_armas"", ""organizacao_criminosa""]","[""busca_apreensao"", ""prisao"", ""cooperacao_interagencias"", ""cumprimento_mandado"", ""atuacao_online""]",regex,0.95
empresario-e-indiciado-por-compra-de-votos-no-primeiro-turno-das-eleicoes-2022-f7e21cef.md,Empresário é indiciado por compra de votos no primeiro turno das eleições 2022,Ele foi flagrado em vídeo oferecendo R$ 200 para seus funcionários,07/10/2022,,"[""Operação PF"", ""Compra de votos"", ""Pará""]",São Miguel do Guamá/PA.,,crime_eleitoral,Por crime,"[""crime_eleitoral"", ""ameaca""]","[""busca_apreensao""]",regex,0.95
f-deflagra-operacao-contra-trafico-internacional-de-drogas-e-prende-foragido-por-homicidio-216a473c.md,PF deflagra operação contra tráfico internacional de drogas e prende foragido por homicídio,Operação Rastro Registrado III apura importação de insumos para o tráfico e alvo da ação tinha mandado de prisão em aberto,18/09/2025,,"[""Operação PF"", ""Goiás""]",Goiânia/GO.,Rastro Registrado III,crime_trafico_drogas,Por crime,"[""trafico_drogas"", ""homicidio""]","[""busca_apreensao"", ""prisao""]",regex,0.95
ficco-ac-apoiada-pela-ficco-es-e-pf-na-paraiba-deflagra-operacao-para-combater-o-trafico-de-municoes-de-arma-de-fogo-47a3be8c.md,"FICCO/AC, apoiada pela FICCO/ES e PF na Paraíba, deflagra operação para combater o tráfico de munições de arma de fogo","As ações ocorreram nos estados do Acre, Paraíba e Espírito Santo",12/12/2024,,"[""Acre"", ""Operação PF""]",Rio Branco/AC.,Salitre,crimes_armas,Por crime,"[""crimes_armas"", ""organizacao_criminosa""]","[""cooperacao_interagencias"", ""busca_apreensao"", ""desarticulacao_rede""]",regex,0.95
ficco-ac-atua-contra-grupo-criminoso-envolvido-no-trafico-interestadual-de-drogas-7f4c9787.md,FICCO/AC atua contra grupo criminoso envolvido em tráfico interestadual de drogas,"Operação Regresso apreendeu cerca de 350 kg de cocaína nos estados do Acre, de Goiás e do Pará",11/02/2026,11/02/2026,"[""Operação PF"", ""Acre""]",Rio Branco/AC.,Regresso,crime_trafico_drogas,Por crime,"[""trafico_drogas"", ""lavagem_dinheiro"", ""organizacao_criminosa""]","[""busca_apreensao"", ""prisao"", ""bloqueio_bens"", ""cooperacao_interagencias"", ""desarticulacao_rede""]",regex,0.95
ficco-ac-atua-contra-operadores-financeiros-de-grupo-criminoso-e2f9fef5.md,FICCO/AC atua contra operadores financeiros de grupo criminoso,"Suspeitos operavam a partir de unidades prisionais e de cidades, como Rio Branco/AC, Sena Madureira/AC e Goianira/GO",07/04/2026,07/04/2026,"[""Operação PF"", ""FICCO"", ""Organização criminosa"", ""Acre""]",Rio Branco/AC .,Pax II,crime_organizacao_criminosa,Por crime,"[""organizacao_criminosa""]","[""cooperacao_interagencias"", ""prisao"", ""busca_apreensao"", ""desarticulacao_rede""]",regex,0.95
ficco-ac-atua-contra-operadores-financeiros-e-logisticos-de-organizacao-criminosa-75484115.md,FICCO/AC atua contra operadores financeiros e logísticos de organização criminosa,Envolvidos operavam a partir de unidades prisionais e de bairros dos municípios de Rio Branco/AC e de Sena Madureira/AC,10/03/2026,10/03/2026,"[""Operação PF"", ""FICCO"", ""Acre""]",Rio Branco/AC.,Pax,crime_organizacao_criminosa,Por crime,"[""organizacao_criminosa""]","[""cooperacao_interagencias"", ""busca_apreensao"", ""desarticulacao_rede""]",regex,0.95
ficco-ac-combate-faccoes-criminosas-86ac0d73.md,FICCO/AC combate facções criminosas,Foram cumpridos cinco mandados judiciais.,26/04/2024,,"[""Operação PF"", ""facções criminosas"", ""Acre""]",Rio Branco/AC.,Mutus,crime_trafico_drogas,Por crime,"[""trafico_drogas"", ""organizacao_criminosa""]","[""cooperacao_interagencias"", ""busca_apreensao""]",regex,0.95
ficco-ac-deflagra-operacao-contra-o-trafico-de-drogas-c3e27fcd.md,FICCO/AC deflagra operação contra o tráfico de drogas,Foram cumpridos sete mandados judiciais nas cidades de Rio Branco/AC e Brasiléia/AC,27/11/2025,,"[""Operação PF"", ""Acre""]",Rio Branco/AC.,Ultima Queda,crime_trafico_drogas,Por crime,"[""trafico_drogas"", ""organizacao_criminosa""]","[""busca_apreensao"", ""prisao"", ""cooperacao_interagencias"", ""fronteira_transnacional"", ""desarticulacao_rede""]",regex,0.95
ficco-ac-deflagra-operacao-contra-suspeitos-de-integrar-organizacao-criminosa-9ddc0250.md,FICCO/AC deflagra operação contra suspeitos de integrar organização criminosa,"Na ação, foram cumpridos 16 mandados judicias",21/08/2024,,"[""Operação PF"", ""Organização criminosa"", ""FICCO"", ""AC"", ""Mandados judicias"", ""Acre""]",Rio Branco/AC.,Argenta Nex,crime_trafico_drogas,Por crime,"[""trafico_drogas"", ""organizacao_criminosa""]","[""prisao"", ""cooperacao_interagencias"", ""cumprimento_mandado"", ""busca_apreensao""]",regex,0.95
